id,d1,hispanic,race,racethn,nativity,racethn2,q1a,q1b,q1c,q1d,q1e,q2,q3,q4a,q4b,q4c,q5,q6,q6a,q8,q10a,q10b,q10c,q10d,q11,end_q11,q12,q13,q14,end_q14,vacc1,q16,q17,end_q17,vaches,q18,q19,vacc2,q20a,q20b,q23,q22,q24,q25,end_q25,q26a,q26b,q26c,q26e,q26f,q26g,q26h,employ,recemploy,selfemploy,q27,q28a,q28b,q28c,q28d,q28e,q28f,end_q28,q29,q30,q31a,q31b,q31c,q32a,q34a,q34b,q34c,q34d,q34e,q34f,q34g,q34h,q35,end_q35,age,age2,recage,recage2,recage3,recage4,recage5,child,marital,rvote,voted,voted2,voted2ot,q33,q33ot,religionimp,bornagain,essential,heal1a,essential2,delayedcare,care,careot,coverage,agecov,covtype,agecovtype,rgender,gendervar,lgbt,flu,test1,test3,coviddeath,chroniccovid,party,partylean,party3,party5,ideology,educ,receduc,receduc2,receduc3,income,recincome,cell,hhcell,landline,int1,int3,curlangx,hhadults,int,length,cstate,cregion,intvwdate,timezoneid,sample,userdata,bident1,bssrs_match_code,sstate,sregion,sdivision,stz,bmsc,bprepaid_cell_flag,bactivity_flag_detailed,bactivity_flag_summary,bcdcusr,exchangstat,stateexpmedi,gvnrexpmedi,waiver,wt1,weight,standwt,weight_ssrs,bident4,gotvax,vaxtry,vaxtry2,vaxprefpos,vaxprefneg,anyvax,vaches_rec,vaches_rec2,essentialnonhc,healthworker,workertype,knowvacc,clsknowvacc,recage6,lang,Division,iphoneuse,hphoneuse,cdc2013,cdc2013USR,SAMPLE_TYPE,state1,USR,USR_NEW,state
00000001,Male,Yes,White,HISPANIC,Another country,HISPANIC - BORN OUTSIDE OF US,"Yes, has enough","No, does not have enough","Yes, has enough",Don't know,"Yes, has enough", , , , , ,Not too worried,Never,Yes,Generally correct,"Yes, is being distributed fairly","Yes, is being distributed fairly","Yes, is being distributed fairly","Yes, is being distributed fairly",Yes,235,Yes - major impact,Yes,You were too busy or couldn't get the time off work,57,"No, have not gotten the vaccine", ,15 minutes to under 30 minutes,32,Get the vaccine as soon as you can, ,Getting vaccinated is part of everyone's responsibility to protect the health of others,"Yes, someone else I know, not a family member or close friend, has been vaccinated",Have enough information,Have enough information,Eligible,No, , ,103, , , , , , , ,Employed part-time,EMPLOYED,"Yes, self-employed","No, should not be allowed to require vaccination", , , , , , ,49,Minor differences,Slight preference,Probably get it,Definitely get it,Probably get it,Don't know, , , , , , , , , ,0,52, ,18-64,50-64,45-54,40-59,45-64,Yes,Married,No, , , ,Urban, ,"Very important, but not the most important","Yes, born-again or Evangelical",Yes,No,Retail environment,No,A neighborhood clinic or health center, ,Not covered by health insurance,UNINSURED LESS THAN 65, ,Uninsured <65,Man,MALE,No,Yes,"Yes, someone else in my household tested positive",Yes,Yes,"Yes, someone else in my household has a serious health condition",Independent,Democratic,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,INDEPENDENT/LEAN DEM,Moderate,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"$20,000 to less than $30,000",LESS THAN $40K, , ,"No, no home telephone", , ,Spanish,3,Yes,1361,New Jersey,Northeast,210319,62,Cell phone,KFF prescreened,Hispanic,17005608,New Jersey,Northeast,Mid Atlantic, , ,Unknown,A7,A,Urban (CDC 1),State,Yes,Yes - Democratic/Independent,No,.9412,11.309,.213,.3966,N/A,Has not been vaccinated,Did not try to get appointment,Did not try to get appointment,Else,Else,Would get ANY vaccine,Got vaccine/ASAP,ASAP,Yes,No,Essential worker non-health,Know someone vaccinated,No one close vaccinated,40-64,Spanish,Mid Atlantic,CPO,CPO HH,Large central metro,Urban (CDC=1),CELL KFF PS,NEW JERSEY,Urban,Suburban,1
00000006,Female,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","Yes, has enough","Yes, has enough","Yes, has enough","Yes, has enough","Yes, has enough", , , , , ,Somewhat worried,Every time,Yes,Generally correct,"No, is not being distributed fairly","No, is not being distributed fairly","No, is not being distributed fairly","No, is not being distributed fairly",Yes,345,No, , ,26,"Yes, got first of two doses",15 minutes to under 30 minutes, ,87, , ,Getting vaccinated is part of everyone's responsibility to protect the health of others, , , , , , , ,31, , , , , , , ,Retired,RETIRED, ,"Yes, should be allowed to require vaccination", , , , , , ,79, , , , , , , , , , , , , , , ,0,Refused,65+,65+,65+,65+, ,65+,No,Widowed,Yes,"Yes, voted",Refused, ,Rural, ,"Very important, but not the most important","No, not born-again or Evangelical", ,No, ,No,A private doctor's office, ,Covered by health insurance, ,Medicare, ,Woman,FEMALE,No,Yes,"Yes, someone else I know tested positive",Yes,No,"Yes, I have a serious health condition",Independent,Independent/don't lean to either party (VOL.),PURE INDEPENDENTS,INDEPENDENT/DON'T LEAN,Conservative,High school graduate (Grade 12 with diploma or GED certificate),HIGH SCHOOL GRADUATE,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"Less than $20,000",LESS THAN $40K,"Yes, have cell phone", , , , ,English,1,Yes,1762,Minnesota,North Central,210316,65,landline,KFF prescreened,Else,17001303,Minnesota,North Central,West North Central,C,Urban- Center City County (Metro), , , ,Rural (CDC 4-6),State,Yes,Yes - Democratic/Independent,No,.8708,58.398,1.0998,2.0479,N/A,Received at least one dose of vaccine,Got vaccine,Got vaccine or got appointment,Else,Else,Else,Got vaccine/ASAP,Got vaccine,No,No,Not employed,Personally vaccinated,Personally vaccinated,65+,English,West North Central,Dual,Dual HH,Small metro,Rural (CDC=4-6),LL KFF PS,MINNESOTA,Suburban,Suburban,1
00000007,Male,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","Yes, has enough","Yes, has enough","Yes, has enough","Yes, has enough","Yes, has enough", , , , , ,Not too worried,Some of the time,Don't know,Generally exaggerated,"Yes, is being distributed fairly","Yes, is being distributed fairly","Yes, is being distributed fairly","Yes, is being distributed fairly",Yes,219,No, , ,13,"No, have not gotten the vaccine", ,Less than 15 minutes,38,Definitely not get the vaccine,Too new/now enough information/don't know long-term effects,Getting vaccinated is a personal choice,"Yes, another family member or close friend has been vaccinated",Have enough information,Have enough information,Eligible,No, , ,110,Not too concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not at all concerned,Not too concerned,Retired,RETIRED, ,"No, should not be allowed to require vaccination", , , ,"No, not more likely","No, not more likely","No, not more likely",279,Not sure, ,Definitely not get it,Definitely not get it,Definitely get it, ,"No, not more likely","No, not more likely","No, not more likely","No, not more likely","No, not more likely","No, not more likely","No, not more likely","No, not more likely","No, not more likely",211,79, ,65+,65+,65+,75+,65+,No,Widowed,Yes,"Yes, voted",Donald Trump, ,Rural, ,The most important thing in your life,"Yes, born-again or Evangelical", ,No, ,No,A private doctor's office, ,Covered by health insurance, ,Medicare, ,Man,MALE,Refused,No,"Yes, someone else I know tested positive",No, ,No one in household has a serious health condition,Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Conservative,"Some college, no degree (includes some community college)",SOME COLLEGE,SOME COLLEGE,LESS THAN COLLEGE,"$30,000 to less than $40,000",LESS THAN $40K, , ,"No, no home telephone", , ,English,1,Yes,1790,Missouri,North Central,210316,65,Cell phone,KFF prescreened,Else,17003895,Missouri,North Central,West North Central, , ,Unknown,A3,A,Rural (CDC 4-6),Federal,No/Maybe,No/Maybe,No,.7892,25.844,.4867,.9063,N/A,Has not been vaccinated,Did not try to get appointment,Did not try to get appointment,Prefer Johnson and Johnson vaccine,Else,Else,Definitely not,Definitely not,No,No,Not employed,Know someone vaccinated,Know close family or friend vaccinated,65+,English,West North Central,CPO,CPO HH,Non-core,Rural (CDC=4-6),CELL KFF PS,MISSOURI,Rural,Rural,MISSOURI
00000020,Male,Yes,Other or mixed race,HISPANIC,Another country,HISPANIC - BORN OUTSIDE OF US,"Yes, has enough","Yes, has enough","Yes, has enough","Yes, has enough","Yes, has enough",Helps both about equally,No,15 minutes to under 30 minutes,Less than 15 minutes,30 minutes to under an hour,Very worried,Every time,Yes,Generally correct,"Yes, is being distributed fairly","Yes, is being distributed fairly","Yes, is being distributed fairly","Yes, is being distributed fairly",Yes,407,No, , ,22,"Yes, got first of two doses",Less than 15 minutes, ,51, , ,Getting vaccinated is part of everyone's responsibility to protect the health of others, , , , , , , ,25, , , , , , , ,Employed part-time,EMPLOYED,"No, not self-employed","Yes, should be allowed to require vaccination", , , , , , ,88, , , , , , , , , , , , , , , ,0,27, ,18-64,18-29,25-34,18-39,18-29,No,Never been married,Yes,"No, did not vote", , ,Urban, ,Somewhat important,"Yes, born-again or Evangelical",No,No, ,No,A neighborhood clinic or health center, ,Not covered by health insurance,UNINSURED LESS THAN 65, ,Uninsured <65,Man,MALE,No,Yes,No,No, ,No one in household has a serious health condition,Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Moderate,Less than high school (Grades 1-8 or no formal schooling),LESS THAN HIGH SCHOOL,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"Less than $20,000",LESS THAN $40K, , ,"No, no home telephone",No,Yes,Spanish,1,Yes,1611,Texas,South,210317,65,Cell phone,KFF prescreened,Hispanic,17004251,Texas,South,West South Central, , ,Unknown,A3,A,Urban (CDC 1),Federal,No/Maybe,No/Maybe,No,1.1003,14.765,.2781,.5178,N/A,Received at least one dose of vaccine,Got vaccine,Got vaccine or got appointment,Else,Else,Else,Got vaccine/ASAP,Got vaccine,No,No,Other employed,Personally vaccinated,Personally vaccinated,18-39,Spanish,West South Central,CPO,CPO HH,Non-core,Rural (CDC=4-6),CELL KFF PS,TEXAS,Rural,Rural,1
00000026,Male,Yes,White,HISPANIC,Another country,HISPANIC - BORN OUTSIDE OF US,"Yes, has enough","Yes, has enough","Yes, has enough","Yes, has enough","Yes, has enough", , , , , ,Very worried,Every time,Yes,Generally correct,"Yes, is being distributed fairly","Yes, is being distributed fairly","Yes, is being distributed fairly","Yes, is being distributed fairly",Yes,222,Yes - major impact,Yes,You were afraid or embarrassed to seek care,105,"No, have not gotten the vaccine", ,15 minutes to under 30 minutes,46,Get the vaccine as soon as you can, ,Getting vaccinated is part of everyone's responsibility to protect the health of others,"Yes, someone in my household has been vaccinated",Have enough information,Have enough information,Not eligible,No, , ,127, , , , , , , ,Unemployed and not seeking employment,UNEMPLOYED, ,"Yes, should be allowed to require vaccination", , , , , , ,54,Not sure,Slight preference,Definitely get it,Definitely get it,Definitely get it,Prefer one-does/one-shot vaccine (general), , , , , , , , , ,0,60, ,18-64,50-64,55-64,60-69,45-64,Yes,Married,No, , , ,Small town, ,The most important thing in your life,"Yes, born-again or Evangelical", ,No, ,No,A neighborhood clinic or health center, ,Covered by health insurance,INSURED LESS THAN 65,MEDICAID,Medicaid/State-specific Medicaid name,Man,MALE,Don't know,Yes,"Yes, I tested positive",No, ,"Yes, I have a serious health condition",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Moderate,Less than high school (Grades 1-8 or no formal schooling),LESS THAN HIGH SCHOOL,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"$20,000 to less than $30,000",LESS THAN $40K, , ,"No, no home telephone", , ,Spanish,4,Yes,1350,California,West,210316,71,Cell phone,KFF prescreened,Hispanic,17002992,California,West,Pacific,8,Urban- Center City County (Metro), , , ,Suburban (CDC 2-3),State,Yes,Yes - Democratic/Independent,No,.5829,7.7044,.1451,.2702,N/A,Has not been vaccinated,Did not try to get appointment,Did not try to get appointment,Else,Else,Would get ANY vaccine,Got vaccine/ASAP,ASAP,No,No,Not employed,Know someone vaccinated,Know close family or friend vaccinated,40-64,Spanish,Pacific,CPO,CPO HH,Medium metro,"Suburban (CDC=2,3)",CELL KFF PS,CALIFORNIA,Suburban,Suburban,1
00000040,Female,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","Yes, has enough","Yes, has enough","Yes, has enough","No, does not have enough","No, does not have enough", , , , , ,Somewhat worried,Most of the time,Yes,Generally correct,"No, is not being distributed fairly","Yes, is being distributed fairly","No, is not being distributed fairly","No, is not being distributed fairly",Yes,237,No, , ,12,"No, have not gotten the vaccine", ,Less than 15 minutes,29,Get the vaccine as soon as you can, ,Getting vaccinated is part of everyone's responsibility to protect the health of others,"Yes, someone else I know, not a family member or close friend, has been vaccinated",Have enough information,Do not have enough information,Not eligible,No, , ,89, , , , , , , ,Employed full-time,EMPLOYED,"No, not self-employed","No, should not be allowed to require vaccination", , , , , , ,43,Minor differences,No preference,Definitely get it,Definitely get it,Definitely get it, , , , , , , , , , ,0,40, ,18-64,30-49,35-44,40-59,30-44,No,Married,Yes,"Yes, voted",Joe Biden, ,Suburban, ,Not at all important,"No, not born-again or Evangelical",No,No, ,"Yes, me",Or do you have no usual source of care, ,Covered by health insurance,INSURED LESS THAN 65,Plan through your spouse's employer,Spouse's employer,Woman,FEMALE,No,No,"Yes, someone else I know tested positive",No, ,"Yes, someone else in my household has a serious health condition",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Liberal,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,"$100,000 or more",$90K+, , ,"No, no home telephone", , ,English,2,Yes,977,Florida,South,210318,62,Cell phone,KFF prescreened,Else,17005392,South Carolina,South,South Atlantic, , ,Unknown,A7,A,Suburban (CDC 2-3),Federal,No/Maybe,No/Maybe,No,1.4912,81.165,1.5286,2.8463,N/A,Has not been vaccinated,Did not try to get appointment,Did not try to get appointment,Else,Else,Would get ANY vaccine,Got vaccine/ASAP,ASAP,No,No,Other employed,Know someone vaccinated,No one close vaccinated,40-64,English,South Atlantic,CPO,CPO HH,Large central metro,Urban (CDC=1),CELL KFF PS,FLORIDA,Urban,Urban,1
00000067,Male,Yes,White,HISPANIC,Another country,HISPANIC - BORN OUTSIDE OF US,"No, does not have enough","No, does not have enough","No, does not have enough",Don't know,"No, does not have enough", , , , , ,Very worried,Every time,Yes,Generally correct,"Yes, is being distributed fairly",Don't know,"Yes, is being distributed fairly","Yes, is being distributed fairly",Yes,714,Yes - major impact,No, ,203,"Yes, got first of two doses",Less than 15 minutes, ,99, , ,Getting vaccinated is part of everyone's responsibility to protect the health of others, , , , , , , ,25, , , , , , , ,Unemployed and not seeking employment,UNEMPLOYED, ,"Yes, should be allowed to require vaccination", , , , , , ,355, , , , , , , , , , , , , , , ,0,71, ,65+,65+,65+,70-74,65+,No,Married,Yes,"Yes, voted",Joe Biden, ,Don't know, ,"Very important, but not the most important","Yes, born-again or Evangelical", ,No, ,"Yes, a family member",A hospital emergency room, ,Covered by health insurance, ,Medicare, ,Man,MALE,No,Yes,"Yes, someone else in my household tested positive",No, ,"Yes, someone else in my household has a serious health condition",Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Don't Know,Less than high school (Grades 1-8 or no formal schooling),LESS THAN HIGH SCHOOL,HIGH SCHOOL OR LESS,LESS THAN COLLEGE,"$30,000 to less than $40,000",LESS THAN $40K, , ,"No, no home telephone", , ,Spanish,5,Yes,2766,California,West,210316,71,Cell phone,KFF prescreened,Hispanic,17001357,California,West,Pacific,8,Urban- Center City County (Metro), , , ,Suburban (CDC 2-3),State,Yes,Yes - Democratic/Independent,No,.4172,5.8181,.1096,.204,N/A,Received at least one dose of vaccine,Got vaccine,Got vaccine or got appointment,Else,Else,Else,Got vaccine/ASAP,Got vaccine,No,No,Not employed,Personally vaccinated,Personally vaccinated,65+,Spanish,Pacific,CPO,CPO HH,Large central metro,Urban (CDC=1),CELL KFF PS,CALIFORNIA,Suburban,Suburban,1
00000068,Male,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","Yes, has enough","Yes, has enough","Yes, has enough","Yes, has enough","Yes, has enough", , , , , ,Not at all worried,Some of the time,No,Generally exaggerated,"Yes, is being distributed fairly","Yes, is being distributed fairly","Yes, is being distributed fairly","Yes, is being distributed fairly",Yes,230,Yes - minor impact,No, ,30,"Yes, got both doses of a two-dose vaccine",15 minutes to under 30 minutes, ,37, , ,Getting vaccinated is part of everyone's responsibility to protect the health of others, , , , , , , ,24, , , , , , , ,Retired,RETIRED, ,"Yes, should be allowed to require vaccination", , , , , , ,44, , , , , , , , , , , , , , , ,0,78, ,65+,65+,65+,75+,65+,No,Divorced,No, , , ,Suburban, ,"Very important, but not the most important","No, not born-again or Evangelical", ,No, ,No,A private doctor's office, ,Covered by health insurance, ,Medicare, ,Man,MALE,No,Yes,"Yes, someone else I know tested positive",No, ,"Yes, I have a serious health condition",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Conservative,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,"$20,000 to less than $30,000",LESS THAN $40K, , ,"Yes, has a home telephone", , ,English,1,Yes,911,Florida,South,210315,62,Cell phone,KFF prescreened,Else,17001544,Florida,South,South Atlantic, , ,Unknown,A7,A,Suburban (CDC 2-3),Federal,No/Maybe,No/Maybe,No,.879,17.066,.3214,.5985,N/A,Received at least one dose of vaccine,Got vaccine,Got vaccine or got appointment,Else,Else,Else,Got vaccine/ASAP,Got vaccine,No,No,Not employed,Personally vaccinated,Else,65+,English,South Atlantic,Dual,Dual HH,Small metro,Rural (CDC=4-6),CELL KFF PS,FLORIDA,Suburban,Urban,1
00000081,Male,No,White,"WHITE, NON-HISPANIC", ,"WHITE, NON-HISPANIC","Yes, has enough","Yes, has enough","No, does not have enough","Yes, has enough","No, does not have enough", , , , , ,Not at all worried,Every time,Yes,Generally correct,"Yes, is being distributed fairly","Yes, is being distributed fairly","No, is not being distributed fairly","Yes, is being distributed fairly",Yes,221,No, , ,10,"Yes, got both doses of a two-dose vaccine",15 minutes to under 30 minutes, ,30, , ,Getting vaccinated is part of everyone's responsibility to protect the health of others, , , , , , , ,18, , , , , , , ,Retired,RETIRED, ,"Yes, should be allowed to require vaccination", , , , , , ,30, , , , , , , , , , , , , , , ,0,78, ,65+,65+,65+,75+,65+,No,Divorced,Yes,"Yes, voted",Joe Biden, ,Suburban, ,Not at all important,"No, not born-again or Evangelical", ,No, ,No,A private doctor's office, ,Covered by health insurance, ,Plan through your employer, ,Man,MALE,No,Yes,"Yes, someone else I know tested positive",Yes,No,No one in household has a serious health condition,Democrat, ,DEMOCRAT/INDEPENDENT LEAN DEMOCRAT,DEMOCRAT,Liberal,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)",COLLEGE +,COLLEGE +,COLLEGE +,"$75,000 to less than $90,000",$40K-$89K,"No, do not",No, , , ,English,1,Yes,852,California,West,210316,71,landline,KFF prescreened,Else,17003068,California,West,Pacific,P,Urban- Center City County (Metro), , , ,Urban (CDC 1),State,Yes,Yes - Democratic/Independent,No,.4172,10.319,.1943,.3619,N/A,Received at least one dose of vaccine,Got vaccine,Got vaccine or got appointment,Else,Else,Else,Got vaccine/ASAP,Got vaccine,No,No,Not employed,Personally vaccinated,Else,65+,English,Pacific,LLO,LLO HH,Large central metro,Urban (CDC=1),LL KFF PS,CALIFORNIA,Suburban,Suburban,1
00000094,Female,No,Refused,DK/RF, ,DK/RF,"No, does not have enough","Yes, has enough","Yes, has enough","Yes, has enough","No, does not have enough",Helps both about equally,No,15 minutes to under 30 minutes,15 minutes to under 30 minutes,15 minutes to under 30 minutes,Not at all worried,Never,No,Generally exaggerated,"Yes, is being distributed fairly","Yes, is being distributed fairly","Yes, is being distributed fairly","Yes, is being distributed fairly",Yes,59,No, , ,10,"No, have not gotten the vaccine", ,15 minutes to under 30 minutes,27,Definitely not get the vaccine,Other,Getting vaccinated is a personal choice,"Yes, someone else I know, not a family member or close friend, has been vaccinated",Have enough information,Have enough information,Eligible,No, , ,111,Not at all concerned,Not at all concerned,Somewhat concerned,Not at all concerned,Not at all concerned,Not at all concerned,Somewhat concerned,Refused,DK/RF, ,"No, should not be allowed to require vaccination", , , ,"No, not more likely","No, not more likely","No, not more likely",188,Not sure, ,Definitely not get it,Definitely not get it,Definitely not get it, ,"No, not more likely","No, not more likely","No, not more likely","No, not more likely","No, not more likely","No, not more likely","No, not more likely","No, not more likely","No, not more likely",139,54, ,18-64,50-64,45-54,40-59,45-64,No,Married,Yes,"Yes, voted",Donald Trump, ,Rural, ,The most important thing in your life,"Yes, born-again or Evangelical", ,No, ,No,A private doctor's office, ,Covered by health insurance,INSURED LESS THAN 65,Plan through your employer,Employer,Woman,FEMALE,No,Yes,"Yes, I tested positive",No, ,"Yes, I have a serious health condition",Republican, ,REPUBLICAN/INDEPENDENT LEAN REPUBLICAN,REPUBLICAN,Conservative,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",COLLEGE +,COLLEGE +,COLLEGE +,"$100,000 or more",$90K+,"Yes, have cell phone", , ,Yes, ,English,5,Yes,1501,Wyoming,West,210318,70,landline,KFF prescreened,Else,17001016,Wyoming,West,Mountain,M,Rural- Non-Metro, , , ,Rural (CDC 4-6),Federal,No/Maybe,No/Maybe,No,.8768,41.594,.7834,1.4586,N/A,Has not been vaccinated,Did not try to get appointment,Did not try to get appointment,Else,Else,Else,Definitely not,Definitely not,No,No,Don't know/Refused,Know someone vaccinated,No one close vaccinated,40-64,English,Mountain,Dual,Dual HH,Micropolitan,Rural (CDC=4-6),LL KFF PS,WYOMING,Suburban,Rural,1
